SubmitTime RunTime JobID UserID PeerID TraceID Cluster.IAT Cluster.JRT Cluster.TRT
20613 1114 1 U602 P31 gwa-t3 C1 C4 C3
21656 1340 2 U602 P31 gwa-t3 C1 C4 C3
23383 152 3 U602 P31 gwa-t3 C1 C4 C3
23383 706 3 U602 P31 gwa-t3 C1 C4 C3
128 1240 1 U603 P31 gwa-t3 C2 C2 C2
285 4297 2 U603 P31 gwa-t3 C2 C2 C2
1411 1997 3 U603 P31 gwa-t3 C2 C2 C2
1479 1491 4 U603 P31 gwa-t3 C2 C2 C2
3641 508 5 U603 P31 gwa-t3 C2 C2 C2
4420 201 6 U603 P31 gwa-t3 C2 C2 C2
5299 77 7 U603 P31 gwa-t3 C2 C2 C2
6336 4157 8 U603 P31 gwa-t3 C2 C2 C2
7438 914 9 U603 P31 gwa-t3 C2 C2 C2
9282 1711 10 U603 P31 gwa-t3 C2 C2 C2
9497 673 11 U603 P31 gwa-t3 C2 C2 C2
9944 1752 12 U603 P31 gwa-t3 C2 C2 C2
10102 2644 13 U603 P31 gwa-t3 C2 C2 C2
11618 3549 14 U603 P31 gwa-t3 C2 C2 C2
12155 103 15 U603 P31 gwa-t3 C2 C2 C2
12275 2146 16 U603 P31 gwa-t3 C2 C2 C2
12829 3891 17 U603 P31 gwa-t3 C2 C2 C2
13902 1213 18 U603 P31 gwa-t3 C2 C2 C2
14060 1620 19 U603 P31 gwa-t3 C2 C2 C2
14718 2537 20 U603 P31 gwa-t3 C2 C2 C2
14973 3843 21 U603 P31 gwa-t3 C2 C2 C2
15055 2825 22 U603 P31 gwa-t3 C2 C2 C2
15387 1177 23 U603 P31 gwa-t3 C2 C2 C2
15387 984 23 U603 P31 gwa-t3 C2 C2 C2
15905 329 24 U603 P31 gwa-t3 C2 C2 C2
15905 496 24 U603 P31 gwa-t3 C2 C2 C2
16105 544 25 U603 P31 gwa-t3 C2 C2 C2
16105 2775 25 U603 P31 gwa-t3 C2 C2 C2
16340 637 26 U603 P31 gwa-t3 C2 C2 C2
16760 989 27 U603 P31 gwa-t3 C2 C2 C2
16993 43 28 U603 P31 gwa-t3 C2 C2 C2
17535 308 29 U603 P31 gwa-t3 C2 C2 C2
18177 3631 30 U603 P31 gwa-t3 C2 C2 C2
18268 1361 31 U603 P31 gwa-t3 C2 C2 C2
18268 1866 31 U603 P31 gwa-t3 C2 C2 C2
18366 2457 32 U603 P31 gwa-t3 C2 C2 C2
18652 612 33 U603 P31 gwa-t3 C2 C2 C2
18652 718 33 U603 P31 gwa-t3 C2 C2 C2
18779 2311 34 U603 P31 gwa-t3 C2 C2 C2
22406 580 35 U603 P31 gwa-t3 C2 C2 C2
22506 1163 36 U603 P31 gwa-t3 C2 C2 C2
22590 885 37 U603 P31 gwa-t3 C2 C2 C2
29063 666 38 U603 P31 gwa-t3 C2 C2 C2
30255 2369 39 U603 P31 gwa-t3 C2 C2 C2
30544 297 40 U603 P31 gwa-t3 C2 C2 C2
30853 3532 41 U603 P31 gwa-t3 C2 C2 C2
31387 880 42 U603 P31 gwa-t3 C2 C2 C2
31484 1451 43 U603 P31 gwa-t3 C2 C2 C2
32694 896 44 U603 P31 gwa-t3 C2 C2 C2
33672 2492 45 U603 P31 gwa-t3 C2 C2 C2
33672 1312 45 U603 P31 gwa-t3 C2 C2 C2
34235 3295 46 U603 P31 gwa-t3 C2 C2 C2
34514 2549 47 U603 P31 gwa-t3 C2 C2 C2
36150 3270 48 U603 P31 gwa-t3 C2 C2 C2
37167 343 49 U603 P31 gwa-t3 C2 C2 C2
37326 266 50 U603 P31 gwa-t3 C2 C2 C2
37434 263 51 U603 P31 gwa-t3 C2 C2 C2
38006 674 52 U603 P31 gwa-t3 C2 C2 C2
39144 705 53 U603 P31 gwa-t3 C2 C2 C2
730 864 1 U604 P31 gwa-t3 C1 C4 C2
1009 57 2 U604 P31 gwa-t3 C1 C4 C2
4586 431 3 U604 P31 gwa-t3 C1 C4 C2
4633 2079 4 U604 P31 gwa-t3 C1 C4 C2
4874 1152 5 U604 P31 gwa-t3 C1 C4 C2
5065 860 6 U604 P31 gwa-t3 C1 C4 C2
5320 300 7 U604 P31 gwa-t3 C1 C4 C2
5332 34 8 U604 P31 gwa-t3 C1 C4 C2
5332 2915 8 U604 P31 gwa-t3 C1 C4 C2
10869 147 9 U604 P31 gwa-t3 C1 C4 C2
35722 1544 10 U604 P31 gwa-t3 C1 C4 C2
1609 522 1 U605 P31 gwa-t3 C4 C1 C3
1609 148 1 U605 P31 gwa-t3 C4 C1 C3
1609 1204 1 U605 P31 gwa-t3 C4 C1 C3
1609 218 1 U605 P31 gwa-t3 C4 C1 C3
4570 13 2 U605 P31 gwa-t3 C4 C1 C3
4669 26 3 U605 P31 gwa-t3 C4 C1 C3
5273 133 4 U605 P31 gwa-t3 C4 C1 C3
5549 54 5 U605 P31 gwa-t3 C4 C1 C3
6554 289 6 U605 P31 gwa-t3 C4 C1 C3
7629 714 7 U605 P31 gwa-t3 C4 C1 C3
7629 1783 7 U605 P31 gwa-t3 C4 C1 C3
13550 37 8 U605 P31 gwa-t3 C4 C1 C3
15564 183 9 U605 P31 gwa-t3 C4 C1 C3
27359 174 10 U605 P31 gwa-t3 C4 C1 C3
27585 47 11 U605 P31 gwa-t3 C4 C1 C3
28642 79 12 U605 P31 gwa-t3 C4 C1 C3
31664 1080 13 U605 P31 gwa-t3 C4 C1 C3
32972 18 14 U605 P31 gwa-t3 C4 C1 C3
34961 115 15 U605 P31 gwa-t3 C4 C1 C3
34961 474 15 U605 P31 gwa-t3 C4 C1 C3
34961 784 15 U605 P31 gwa-t3 C4 C1 C3
37532 1312 16 U605 P31 gwa-t3 C4 C1 C3
40442 656 17 U605 P31 gwa-t3 C4 C1 C3
41435 368 18 U605 P31 gwa-t3 C4 C1 C3
41621 48 19 U605 P31 gwa-t3 C4 C1 C3
41621 170 19 U605 P31 gwa-t3 C4 C1 C3
189 1484 1 U606 P31 gwa-t3 C2 C3 C5
216 3918 2 U606 P31 gwa-t3 C2 C3 C5
3396 3372 3 U606 P31 gwa-t3 C2 C3 C5
4186 1380 4 U606 P31 gwa-t3 C2 C3 C5
4379 125 5 U606 P31 gwa-t3 C2 C3 C5
5069 3043 6 U606 P31 gwa-t3 C2 C3 C5
5579 3259 7 U606 P31 gwa-t3 C2 C3 C5
6338 319 8 U606 P31 gwa-t3 C2 C3 C5
9928 2359 9 U606 P31 gwa-t3 C2 C3 C5
10125 1430 10 U606 P31 gwa-t3 C2 C3 C5
10726 1814 11 U606 P31 gwa-t3 C2 C3 C5
11010 2916 12 U606 P31 gwa-t3 C2 C3 C5
12163 3214 13 U606 P31 gwa-t3 C2 C3 C5
